mc_run_id,grouping,mean_watscar,mean_watuse,sd_watscar,sd_watuse,n_participants,sex,diet_group,age_group,diet_sex_group,outliers
9,vegan_male_30-39,11520.27808,432.0016478,5611.40849,230.4927265,251,male,vegan,30-39,vegan_male,0
9,vegan_male_40-49,11566.97865,451.4401209,4890.905608,235.17169,165,male,vegan,40-49,vegan_male,0
9,vegan_male_50-59,11258.52735,423.3764882,3748.687291,158.9504389,62,male,vegan,50-59,vegan_male,0
9,vegan_male_60-69,13057.33748,512.0672907,6868.175246,312.7512171,52,male,vegan,60-69,vegan_male,0
9,vegan_male_70-79,13190.35699,481.6933788,4291.130909,206.901636,19,male,vegan,70-79,vegan_male,0
9,veggie_female_20-29,17660.54976,583.0518028,7435.985923,206.0551697,3752,female,veggie,20-29,veggie_female,0
9,veggie_female_30-39,17751.3153,587.0109077,7811.541991,215.473659,3634,female,veggie,30-39,veggie_female,0
9,veggie_female_40-49,17531.28642,590.2003607,7460.586675,214.9451335,2696,female,veggie,40-49,veggie_female,0
9,veggie_female_50-59,18071.33425,603.5442791,7858.498695,237.008347,1203,female,veggie,50-59,veggie_female,0
9,veggie_female_60-69,18503.59776,618.1055183,8231.795936,249.4212883,536,female,veggie,60-69,veggie_female,0
9,veggie_female_70-79,18375.12073,607.7142749,8061.590048,234.1697917,289,female,veggie,70-79,veggie_female,0
9,veggie_male_20-29,19419.03461,653.3526344,9237.257918,256.008808,646,male,veggie,20-29,veggie_male,0
9,veggie_male_30-39,18611.24327,629.0945829,8724.024259,249.1818327,1221,male,veggie,30-39,veggie_male,0
9,veggie_male_40-49,18117.13234,614.2579032,8283.329626,236.2031455,961,male,veggie,40-49,veggie_male,0
9,veggie_male_50-59,17218.08972,586.8746749,7827.019237,213.976484,426,male,veggie,50-59,veggie_male,0
9,veggie_male_60-69,17759.07374,607.8576639,7890.30439,248.8689682,229,male,veggie,60-69,veggie_male,0
9,veggie_male_70-79,18809.29083,634.9818475,9370.819717,320.6306033,158,male,veggie,70-79,veggie_male,0
10,vegan_female_20-29,12505.6973,659.0974649,6148.907251,419.4771222,487,female,vegan,20-29,vegan_female,0
10,vegan_female_30-39,12807.59199,654.740585,5504.069261,351.0898041,376,female,vegan,30-39,vegan_female,0
10,vegan_female_40-49,13871.38454,616.4486091,7980.961675,363.3617423,219,female,vegan,40-49,vegan_female,0
10,vegan_female_50-59,14528.16564,613.6533524,8052.519839,326.432991,106,female,vegan,50-59,vegan_female,0
10,vegan_female_60-69,14780.30172,610.5896075,8634.411545,328.3693506,81,female,vegan,60-69,vegan_female,0
10,vegan_female_70-79,15296.48121,745.0540353,9045.719686,963.1579562,25,female,vegan,70-79,vegan_female,0
10,vegan_male_20-29,15210.5543,799.1316681,7908.806356,429.7481784,198,male,vegan,20-29,vegan_male,0
10,vegan_male_30-39,14199.65214,680.2726383,8088.952986,409.7841113,251,male,vegan,30-39,vegan_male,0
10,vegan_male_40-49,13420.88402,566.9098617,6526.038625,299.6968939,165,male,vegan,40-49,vegan_male,0
10,vegan_male_50-59,13166.4382,607.589108,5559.774242,384.3828908,62,male,vegan,50-59,vegan_male,0
10,vegan_male_60-69,16007.53525,583.5327673,10808.70051,360.7865687,52,male,vegan,60-69,vegan_male,0
10,vegan_male_70-79,15543.24532,596.1087695,6648.442452,354.2906727,19,male,vegan,70-79,vegan_male,0
10,veggie_female_20-29,11198.07987,875.29187,4556.623998,420.0173795,3752,female,veggie,20-29,veggie_female,3
10,veggie_female_30-39,11463.86323,855.7200467,4619.679877,415.6724207,3634,female,veggie,30-39,veggie_female,3
10,veggie_female_40-49,11966.90136,817.9094411,5252.109224,391.5794428,2696,female,veggie,40-49,veggie_female,0
10,veggie_female_50-59,12615.84499,813.69916,6216.67676,414.3144025,1203,female,veggie,50-59,veggie_female,0
10,veggie_female_60-69,12988.76656,777.3742751,5929.438094,345.1122808,536,female,veggie,60-69,veggie_female,0
10,veggie_female_70-79,13516.8507,757.0024296,7257.005514,357.8206135,289,female,veggie,70-79,veggie_female,0
10,veggie_male_20-29,12233.13227,972.3680013,5855.292367,513.0028038,646,male,veggie,20-29,veggie_male,4
10,veggie_male_30-39,12169.61245,935.7023828,5513.578595,491.6066288,1221,male,veggie,30-39,veggie_male,4
10,veggie_male_40-49,12374.15972,873.9769645,6084.17206,559.2745877,961,male,veggie,40-49,veggie_male,0
10,veggie_male_50-59,12373.89635,848.6211263,5344.224206,585.8548338,426,male,veggie,50-59,veggie_male,0
10,veggie_male_60-69,13087.34848,798.2178172,6754.588552,394.1666422,229,male,veggie,60-69,veggie_male,0
10,veggie_male_70-79,14158.20101,864.6317406,8264.055713,721.9717749,158,male,veggie,70-79,veggie_male,0
